index,league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls_p90,Standard_Sh_p90,Performance_Ast_p90,Performance_Crs_p90,Performance_TklW_p90,Performance_Int_p90,Performance_Fls_p90,Performance_Fld_p90
0,ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,ENG,DF,26,1997,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,0,0,ENG,DF,26,1997,13.3,2,0,0,10,5,1,17,16,15,,,0,0.0,0.6766917293233082,0.15037593984962405,1.2781954887218046,1.1278195488721805,1.2030075187969924,0.7518796992481203,0.37593984962406013
1,ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78,ENG,"FW,MF",22,2001,19.2,6,67,23,34.3,3.49,1.2,0.09,0.26,1,1,ENG,"FW,MF",22,2001,19.2,3,0,0,15,39,7,115,3,15,,,0,0.3125,3.4895833333333335,0.5208333333333334,5.989583333333334,0.78125,0.15625,0.78125,2.03125
2,ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,GK,28,1995,38.0,0,0,0,,0.0,0.0,,,0,0,ESP,GK,28,1995,38.0,3,0,0,1,10,0,0,0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.2631578947368421
3,ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,0.13,0.22,0.35,0.13,0.35,ENG,MF,25,1999,31.4,4,48,15,31.3,1.53,0.48,0.08,0.27,0,0,ENG,MF,25,1999,31.4,7,1,1,21,16,2,161,27,23,,,0,0.12738853503184713,1.5286624203821657,0.2229299363057325,5.127388535031847,0.7324840764331211,0.8598726114649682,0.6687898089171975,0.5095541401273885
4,ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,BRA,DF,26,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0,BRA,DF,26,1997,26.3,4,0,0,19,19,0,9,16,15,,,0,0.11406844106463879,0.8365019011406843,0.03802281368821293,0.34220532319391633,0.5703422053231939,0.6083650190114068,0.7224334600760456,0.7224334600760456
5,ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,0.31,0.16,0.47,0.31,0.47,BRA,"FW,MF",23,2001,25.4,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0,BRA,"FW,MF",23,2001,25.4,1,0,0,16,21,8,90,4,15,,,0,0.31496062992125984,2.204724409448819,0.15748031496062992,3.5433070866141736,0.5905511811023623,0.15748031496062992,0.6299212598425197,0.8267716535433072
6,ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,POL,DF,24,2000,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0,POL,DF,24,2000,12.5,1,0,0,10,4,1,2,6,8,,,0,0.08,0.24,0.0,0.16,0.64,0.48,0.8,0.32
7,ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,0.04,0.11,0.15,0.04,0.15,NED,DF,23,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,0,0,NED,DF,23,2001,26.9,7,0,0,30,29,7,28,24,36,,,0,0.03717472118959108,0.5204460966542751,0.11152416356877325,1.0408921933085502,1.338289962825279,0.892193308550186,1.1152416356877324,1.0780669144981414
8,ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,0.43,0.14,0.58,0.43,0.58,GER,FW,25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,0,0,GER,FW,25,1999,20.8,5,0,0,38,23,14,11,5,8,,,0,0.43269230769230765,2.548076923076923,0.14423076923076922,0.5288461538461539,0.3846153846153846,0.24038461538461536,1.8269230769230769,1.1057692307692308
9,ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,0.28,0.25,0.53,0.28,0.53,BEL,FW,29,1994,28.3,8,72,22,30.6,2.55,0.78,0.11,0.36,0,0,BEL,FW,29,1994,28.3,4,1,1,27,46,6,80,10,18,,,0,0.2826855123674912,2.5441696113074204,0.24734982332155475,2.8268551236749118,0.6360424028268551,0.35335689045936397,0.9540636042402827,1.6254416961130742
10,ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,0.12,0.31,0.43,0.08,0.39,NOR,MF,25,1998,25.8,3,49,17,34.7,1.9,0.66,0.06,0.18,1,1,NOR,MF,25,1998,25.8,4,0,0,12,23,1,86,6,8,,,0,0.11627906976744186,1.8992248062015504,0.31007751937984496,3.333333333333333,0.31007751937984496,0.23255813953488372,0.46511627906976744,0.8914728682170543
11,ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,0.4,0.11,0.51,0.4,0.51,ESP,"MF,FW",28,1996,17.6,7,38,15,39.5,2.16,0.85,0.18,0.47,0,0,ESP,"MF,FW",28,1996,17.6,4,1,1,41,23,7,12,16,28,,,0,0.3977272727272727,2.1590909090909087,0.11363636363636363,0.6818181818181818,1.5909090909090908,0.9090909090909091,2.329545454545454,1.3068181818181817
12,ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.07,0.0,0.07,0.07,0.07,ENG,DF,17,2006,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,0,0,ENG,DF,17,2006,15.2,3,2,0,11,47,0,10,7,13,,,0,0.06578947368421052,0.19736842105263158,0.0,0.6578947368421053,0.8552631578947368,0.46052631578947373,0.7236842105263158,3.0921052631578947
13,ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,ITA,DF,22,2002,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,0,0,ITA,DF,22,2002,10.9,4,0,0,15,6,3,11,8,18,,,0,0.18348623853211007,0.9174311926605504,0.09174311926605504,1.0091743119266054,1.6513761467889907,0.7339449541284403,1.3761467889908257,0.5504587155963303
14,ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,0.13,0.06,0.19,0.13,0.19,GHA,"MF,DF",31,1993,31.1,4,26,9,34.6,0.84,0.29,0.15,0.44,0,0,GHA,"MF,DF",31,1993,31.1,4,0,0,44,31,1,12,35,53,,,0,0.12861736334405144,0.8360128617363344,0.06430868167202572,0.3858520900321543,1.7041800643086815,1.12540192926045,1.4147909967845658,0.9967845659163986
15,ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,FRA,DF,23,2001,33.8,2,6,3,50.0,0.18,0.09,0.33,0.67,0,0,FRA,DF,23,2001,33.8,2,1,0,28,17,1,3,22,34,,,0,0.0591715976331361,0.1775147928994083,0.0,0.08875739644970415,1.0059171597633136,0.6508875739644971,0.8284023668639054,0.5029585798816568
16,ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,0.17,0.0,0.17,0.17,0.17,BEL,MF,22,2001,18.0,3,17,6,35.3,0.95,0.33,0.18,0.5,0,0,BEL,MF,22,2001,18.0,4,0,0,32,30,0,2,26,29,,,0,0.16666666666666666,0.9444444444444444,0.0,0.1111111111111111,1.6111111111111112,1.4444444444444444,1.7777777777777777,1.6666666666666667
17,ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,FRA,"MF,DF",24,1999,19.2,1,10,3,30.0,0.52,0.16,0.1,0.33,0,0,FRA,"MF,DF",24,1999,19.2,2,0,0,29,35,0,1,16,23,,,0,0.052083333333333336,0.5208333333333334,0.0,0.052083333333333336,1.1979166666666667,0.8333333333333334,1.5104166666666667,1.8229166666666667
